"Kod";"Nazwa";"ogółem;2015;[-]";
1101506000;"Powiat łódzki wschodni";1,1;
1101508000;"Powiat pabianicki";1,8;
1101520000;"Powiat zgierski";2,0;
1101521000;"Powiat brzeziński";1,4;
1101661000;"Powiat m.Łódź";1,6;
1101701000;"Powiat bełchatowski";1,6;
1101707000;"Powiat opoczyński";1,0;
1101710000;"Powiat piotrkowski";1,3;
1101712000;"Powiat radomszczański";1,4;
1101716000;"Powiat tomaszowski";1,5;
1101762000;"Powiat m.Piotrków Trybunalski";2,1;
1101803000;"Powiat łaski";1,9;
1101809000;"Powiat pajęczański";1,0;
1101811000;"Powiat poddębicki";1,2;
1101814000;"Powiat sieradzki";1,2;
1101817000;"Powiat wieluński";1,2;
1101818000;"Powiat wieruszowski";1,4;
1101819000;"Powiat zduńskowolski";1,6;
1101902000;"Powiat kutnowski";1,6;
1101904000;"Powiat łęczycki";1,5;
1101905000;"Powiat łowicki";1,4;
1101913000;"Powiat rawski";1,5;
1101915000;"Powiat skierniewicki";0,7;
1101963000;"Powiat m.Skierniewice";2,1;
1142502000;"Powiat ciechanowski";1,5;
1142513000;"Powiat mławski";1,4;
1142520000;"Powiat płoński";1,3;
1142524000;"Powiat pułtuski";1,2;
1142537000;"Powiat żuromiński";1,2;
1142611000;"Powiat makowski";1,1;
1142615000;"Powiat ostrołęcki";1,2;
1142616000;"Powiat ostrowski";1,3;
1142622000;"Powiat przasnyski";1,6;
1142635000;"Powiat wyszkowski";1,5;
1142661000;"Powiat m.Ostrołęka";2,0;
1142701000;"Powiat białobrzeski";1,5;
1142707000;"Powiat kozienicki";1,4;
1142709000;"Powiat lipski";1,1;
1142723000;"Powiat przysuski";0,8;
1142725000;"Powiat radomski";1,1;
1142730000;"Powiat szydłowiecki";1,1;
1142736000;"Powiat zwoleński";0,7;
1142763000;"Powiat m.Radom";2,1;
1142865000;"Powiat m. st. Warszawa";2,2;
1142903000;"Powiat garwoliński";0,9;
1142908000;"Powiat legionowski";2,5;
1142912000;"Powiat miński";1,5;
1142914000;"Powiat nowodworski";2,2;
1142917000;"Powiat otwocki";1,8;
1142934000;"Powiat wołomiński";2,2;
1143005000;"Powiat grodziski";2,1;
1143006000;"Powiat grójecki";1,6;
1143018000;"Powiat piaseczyński";2,1;
1143021000;"Powiat pruszkowski";2,4;
1143028000;"Powiat sochaczewski";1,3;
1143032000;"Powiat warszawski zachodni";1,8;
1143038000;"Powiat żyrardowski";1,6;
1147004000;"Powiat gostyniński";2,0;
1147019000;"Powiat płocki";1,3;
1147027000;"Powiat sierpecki";1,3;
1147062000;"Powiat m.Płock";2,0;
1147110000;"Powiat łosicki";1,0;
1147126000;"Powiat siedlecki";1,0;
1147129000;"Powiat sokołowski";1,1;
1147133000;"Powiat węgrowski";1,4;
1147164000;"Powiat m.Siedlce";2,0;
2122001000;"Powiat bocheński";1,0;
2122006000;"Powiat krakowski";1,5;
2122008000;"Powiat miechowski";1,1;
2122009000;"Powiat myślenicki";1,2;
2122014000;"Powiat proszowicki";1,1;
2122019000;"Powiat wielicki";1,5;
2122161000;"Powiat m.Kraków";2,0;
2122205000;"Powiat gorlicki";1,0;
2122207000;"Powiat limanowski";0,7;
2122210000;"Powiat nowosądecki";0,7;
2122262000;"Powiat m.Nowy Sącz";1,7;
2122303000;"Powiat chrzanowski";2,0;
2122312000;"Powiat olkuski";1,5;
2122313000;"Powiat oświęcimski";1,5;
2122318000;"Powiat wadowicki";1,1;
2122402000;"Powiat brzeski";1,0;
2122404000;"Powiat dąbrowski";1,0;
2122416000;"Powiat tarnowski";0,9;
2122463000;"Powiat m.Tarnów";2,0;
2126911000;"Powiat nowotarski";1,0;
2126915000;"Powiat suski";1,0;
2126917000;"Powiat tatrzański";1,7;
2244402000;"Powiat bielski";1,7;
2244403000;"Powiat cieszyński";1,8;
2244417000;"Powiat żywiecki";1,5;
2244461000;"Powiat m.Bielsko-Biała";2,4;
2244507000;"Powiat lubliniecki";1,2;
2244513000;"Powiat tarnogórski";1,6;
2244562000;"Powiat m.Bytom";1,9;
2244571000;"Powiat m.Piekary Śląskie";1,6;
2244604000;"Powiat częstochowski";1,3;
2244606000;"Powiat kłobucki";1,2;
2244609000;"Powiat myszkowski";1,6;
2244664000;"Powiat m.Częstochowa";1,8;
2244705000;"Powiat gliwicki";1,5;
2244766000;"Powiat m.Gliwice";2,0;
2244778000;"Powiat m.Zabrze";2,2;
2244863000;"Powiat m.Chorzów";1,9;
2244869000;"Powiat m.Katowice";2,1;
2244870000;"Powiat m.Mysłowice";1,9;
2244872000;"Powiat m.Ruda Śląska";1,9;
2244874000;"Powiat m.Siemianowice Śląskie";2,5;
2244876000;"Powiat m.Świętochłowice";1,7;
2244911000;"Powiat raciborski";1,4;
2244912000;"Powiat rybnicki";1,4;
2244915000;"Powiat wodzisławski";1,6;
2244967000;"Powiat m.Jastrzębie-Zdrój";2,0;
2244973000;"Powiat m.Rybnik";1,8;
2244979000;"Powiat m.Żory";1,8;
2245001000;"Powiat będziński";1,9;
2245016000;"Powiat zawierciański";1,6;
2245065000;"Powiat m.Dąbrowa Górnicza";2,1;
2245068000;"Powiat m.Jaworzno";1,8;
2245075000;"Powiat m.Sosnowiec";2,2;
2245108000;"Powiat mikołowski";1,4;
2245110000;"Powiat pszczyński";1,5;
2245114000;"Powiat bieruńsko-lędziński";1,1;
2245177000;"Powiat m.Tychy";1,7;
3060901000;"Powiat bialski";1,2;
3060913000;"Powiat parczewski";1,7;
3060915000;"Powiat radzyński";1,4;
3060919000;"Powiat włodawski";1,9;
3060961000;"Powiat m.Biała Podlaska";1,9;
3061002000;"Powiat biłgorajski";1,3;
3061003000;"Powiat chełmski";1,5;
3061004000;"Powiat hrubieszowski";1,8;
3061006000;"Powiat krasnostawski";1,3;
3061018000;"Powiat tomaszowski";1,5;
3061020000;"Powiat zamojski";1,1;
3061062000;"Powiat m.Chełm";2,3;
3061064000;"Powiat m.Zamość";2,0;
3061108000;"Powiat lubartowski";1,3;
3061109000;"Powiat lubelski";1,2;
3061110000;"Powiat łęczyński";1,4;
3061117000;"Powiat świdnicki";1,9;
3061163000;"Powiat m.Lublin";2,1;
3061205000;"Powiat janowski";1,0;
3061207000;"Powiat kraśnicki";1,7;
3061211000;"Powiat łukowski";1,0;
3061212000;"Powiat opolski";1,9;
3061214000;"Powiat puławski";1,9;
3061216000;"Powiat rycki";1,3;
3183301000;"Powiat bieszczadzki";1,6;
3183302000;"Powiat brzozowski";0,9;
3183305000;"Powiat jasielski";1,2;
3183307000;"Powiat krośnieński";1,1;
3183317000;"Powiat sanocki";1,4;
3183321000;"Powiat leski";1,3;
3183361000;"Powiat m.Krosno";2,5;
3183404000;"Powiat jarosławski";1,4;
3183409000;"Powiat lubaczowski";1,2;
3183413000;"Powiat przemyski";1,1;
3183414000;"Powiat przeworski";1,0;
